NAME,TOKENS
Выборы на Украине. Покушения на Порошенко,"выбор,украин,покушен,порошенк"
Путин: на Украине реализуется не имеющий отношения к вере проект,"путин,украин,реализова,имет,отношен,вер,проект"
Зеленский — идеальный центрист,"зеленск,идеальн,центрист"
"Митрополит ""новой церкви"" Украины Епифаний может получить государственную охрану","митропол,нов,церков,украин,епифан,моч,получа,государствен,охра"
В регионах Украины прихожане остаются верными УПЦ,"регион,украин,прихожанин,остава,верн,упц"
Путин поставил на место безбожника Порошенко,"путин,поставля,мест,безбожник,порошенк"
Путин: на Украине реализуется не имеющий отношения к вере проект,"путин,украин,реализова,имет,отношен,вер,проект"
Украинские выборы: Как всегда,"украинск,выбор"
На Украине – всё по плану: от путинской России к Европе,"украин,вс,план,путинск,росс,европ"
Убивайте москалей – складывайте трупы!,"убива,москал,складыва,труп"
Путин: на Украине реализуется проект,"путин,украин,реализова,проект"
Патриарх Кирилл: РПЦ не откажется от Украинской церкви,"патриарх,кирилл,рпц,отказыва,украинск,церков"
Лукавый Епифаний. Митрополит ПЦУ просвещает,"лукав,епифан,митропол,пцу,просвеща"
Сенатор РФ о значении церковного вопроса в выборах: 90% населения Украины - не верующие,"сенатор,рф,значен,церковн,вопрос,выбор,населен,украин,верова"
Минюст Украины зарегистрировал ПЦУ,"минюст,украин,зарегистрирова,пцу"
Иерарх Польской церкви: церковный раскол на Украине должен быть разрешен соборно,"иерарх,польск,церков,церковн,раскол,украин,должн,разреша,соборн"
Гелетей предложил охранять главу ПЦУ Епифания,"гелет,предлага,охраня,глав,пцу,епифан"
"На Украине официально зарегистрировали ""новую церковь""","украин,официальн,зарегистрирова,нов,церков"
Киевская митрополия ПЦУ получила официальную регистрацию,"киевск,митропол,пцу,получа,официальн,регистрац"
Патриарх Кирилл рассказал о надежде посетить Украину,"патриарх,кирилл,рассказыва,надежд,посеща,украин"
Встречи с главой УПЦ в плане Путина пока нет,"встреч,глав,упц,план,путин,пок"
Не надо строить иллюзий,"стро,иллюз"
"Епифаний пообещал прекратить участие в ""томос-туре"" после регистрации Порошенко","епифан,пообеща,прекраща,участ,томос,тур,регистрац,порошенк"
Патриарх Кирилл надеется,"патриарх,кирилл,надея"
Тема церковной автокефалии навредит Порошенко — эксперт,"тем,церковн,автокефал,навред,порошенк,эксперт"
Почему христианские Церкви сторонятся томос-игрищ Петра Порошенко?,"поч,христианск,церков,сторон,томос,игрищ,петр,порошенк"
В России придумали компьютерную игру о конфликте РПЦ с Константинополем,"росс,придумыва,компьютерн,игр,конфликт,рпц,константинопол"
В России придумали компьютерную игру о противостоянии РПЦ и Бармалея,"росс,придумыва,компьютерн,игр,противостоян,рпц,бармале"
Легойда: Томос - это вассальной зависимости украинских раскольников от Константинополя,"легойд,томос,эт,вассальн,зависим,украинск,раскольник,константинопол"
Православная церковь в Америке не признала украинских раскольников,"православн,церков,америк,признава,украинск,раскольник"
Православная церковь Америки не признала украинских раскольников,"православн,церков,америк,признава,украинск,раскольник"
"Азаров: ""Мощнейшие фальсификации"" будут","азар,мощн,фальсификац"
Православная церковь в Америке не признала новую церковь Украины,"православн,церков,америк,признава,нов,церков,украин"
"Православная церковь в Америке не признала ""новую церковь"" Украины","православн,церков,америк,признава,нов,церков,украин"
Православная церковь в Америке отказалась признать новую религиозную структуру на Украине,"православн,церков,америк,отказыва,признава,нов,религиозн,структур,украин"
"Православная церковь в Америке не признала ""новую церковь"" Украины","православн,церков,америк,признава,нов,церков,украин"
За торговлю на крови: Тимошенко пообещала,"торговл,кров,тимошенк,пообеща"
Петр Порошенко собрался на новый президентский срок,"петр,порошенк,собира,нов,президентск,срок"
Глава ПЦУ готовится к поездкам за границу и посещению регионов Украины,"глав,пцу,готов,поездк,границ,посещен,регион,украин"
Выборы на Украине. Война и мир,"выбор,украин,войн,мир"
Порошенко надел старый галстук на счастье: президент Украины стал кандидатом в президенты,"порошенк,надева,стар,галстук,счаст,президент,украин,станов,кандидат,президент"
Патриарх Кирилл выразил благодарность поместным церквям,"патриарх,кирилл,выража,благодарн,поместн,церков"
Синод Болгарской церкви опроверг сообщения о поддержке новой украинской церкви,"синод,болгарск,церков,опроверга,сообщен,поддержк,нов,украинск,церков"
ПЦУ регистрирует Киевскую митрополию,"пцу,регистрирова,киевск,митропол"
Холодный мир Порошенко. Предвыборные тезисы кандидата в президенты,"холодн,мир,порошенк,предвыборн,тезис,кандидат,президент"
"Порошенко назвал предоставление томоса ""великой победой""","порошенк,называ,предоставлен,томос,велик,побед"
"Украинские выборы: хит недели — ""кто угодно","украинск,выбор,хит,недел,угодн"
"Суд отклонил иск о неправомерности автокефалии ""новой церкви"" на Украине","суд,отклоня,иск,неправомерн,автокефал,нов,церков,украин"
Сербский патриарх Ириней: Украина — великое искушение для православия,"сербск,патриарх,ирин,украин,велик,искушен,православ"
Томос-тур помогает домушникам потрошить квартиры украинцев,"томос,тур,помога,домушник,потрош,квартир,украинец"
Большинство монастырей Афона не хотят ехать на интронизацию Епифания,"большинств,монастыр,афон,хотет,еха,интронизац,епифан"
Гольдарб: Порошенко не верят даже ближайшие соратники,"гольдарб,порошенк,вер,близк,соратник"
Мощное сопротивление: В УПЦ подтвердили,"мощн,сопротивлен,упц,подтвержда"
Порошенко идет на крайние меры ради победы на выборах,"порошенк,идт,крайн,мер,рад,побед,выбор"
Червоненко: Томос уже используют для подкупа избирателей,"червоненк,томос,использова,подкуп,избирател"
Греческие СМИ: Монахи Афона отказались ехать на интронизацию Епифания,"греческ,сми,мон,афон,отказыва,еха,интронизац,епифан"
Киево-Могилянская академия сделала патриарха Варфоломея почетным доктором,"киев,могилянск,академ,сдела,патриарх,варфолом,почетн,доктор"
Эксперт: Сегодня Порошенко откажется от лозунгов про армию,"эксперт,сегодн,порошенк,отказыва,лозунг,арм"
Порошенко пошел ва-банк: кровавый конфликт неизбежен,"порошенк,пойт,ва,банк,кровав,конфликт,неизбежн"
Порошенко подписал закон о свободном переходе религиозных общин,"порошенк,подписыва,закон,свободн,переход,религиозн,общин"
Наблюдение за наблюдателями. Как украинская диаспора США и Канады будет переизбирать Порошенко,"наблюден,наблюдател,украинск,диаспор,сша,канад,переизбира,порошенк"
"Украинские политики ""утянут на дно"" лидеров раскола","украинск,политик,утягива,дно,лидер,раскол"
Кровопролитие и большие жертвы: Томос разбивает Украину на части — эксперт,"кровопролит,больш,жертв,томос,разбива,украин,част,эксперт"
"DDoS показал ""Темную сторону Кремля""","ddos,показыва,темн,сторон,кремл"
"Сербская церковь: Если мы признаем власть ""православного папы""","сербск,церков,признава,власт,православн,пап"
Раскол Украины может быть одним из сценариев победы Петра Порошенко на президентских выборах,"раскол,украин,моч,сценар,побед,петр,порошенк,президентск,выбор"
Сербская церковь не примет легализацию раскола на Украине,"сербск,церков,принима,легализац,раскол,украин"
Онищенко рассказал о молитвах Порошенко иконе со своим ликом,"онищенк,рассказыва,молитв,порошенк,икон,сво,лик"
Ищенко: Порошенко плевать на Варфоломея - он получит от него все,"ищенк,порошенк,плева,варфолом,получа"
Минкульт Украины назвал религиозные организации,"минкульт,украин,называ,религиозн,организац"
Порошенко о захвате церквей УПЦ МП на Украине: Всему свое время,"порошенк,захват,церков,упц,мп,украин,сво,врем"
"Порошенко обозначил срок перехода паствы в ПЦУ фразой ""всему свое время""","порошенк,обознача,срок,переход,паств,пцу,фраз,сво,врем"
Даже Филарет не верит,"филарет,вер"
Порошенко пригласил Иерусалимского патриарха приехать на Украину,"порошенк,приглаша,иерусалимск,патриарх,приезжа,украин"
Устав церкви Епифания противоречит Конституции Украины,"уста,церков,епифан,противореч,конституц,украин"
В УПЦ заявили,"упц,заявля"
Ищенко рассказал о внутривидовой борьбе между Филаретом,"ищенк,рассказыва,внутривидов,борьб,филарет"
"Ветеран войны в Донбассе: За участие в форуме Тимошенко каждый ""киборг"" получил $10 тысяч","ветера,войн,донбасс,участ,форум,тимошенк,кажд,киборг,получа,тысяч"
Порошенко появился на томос-туре с криминальным авторитетом из Черкасс,"порошенк,появля,томос,тур,криминальн,авторитет,черкасс"
На дне. Почему политики на Украине заговорили про встающую с колен экономику,"дно,поч,политик,украин,заговарива,встава,кол,экономик"
"Выборы на Украине: ""Порошенко не имеет надёжной поддержки на местах""","выбор,украин,порошенк,имет,жно,поддержк,мест"
"Опрос: почти 20% украинцев не поддерживают создание ""новой церкви""","опрос,украинец,поддержива,создан,нов,церков"
Бортник: Никто не знает,"бортник,никт,знат"
Украинские выборы разрушат хрупкий мир в стране. Фальсификации неминуемы,"украинск,выбор,разруша,хрупк,мир,стран,фальсификац,неминуем"
Получателей грантов от Венгрии тащат в Службу безопасности Украины,"получател,грант,венгр,тащ,служб,безопасн,украин"
РПЦ: УПЦ имеет шанс оспорить в ЕСПЧ вмешательство властей в религиозную жизнь,"рпц,упц,имет,шанс,оспарива,еспч,вмешательств,власт,религиозн,жизн"
Порошенко в Давосе. Привычка или жадность? ФОТО,"порошенк,давос,привычк,жадност,фот"
Бортник: У новой церковной структуры Украины нет ни названия,"бортник,нов,церковн,структур,украин,назван"
Анталогия фальсификации. Как победить на выборах,"анталог,фальсификац,побежда,выбор"
Предвыборная Украина: зачем Тимошенко и Яценюку объединять антирейтинги?,"предвыборн,украин,тимошенк,яценюк,объединя,антирейтинг"
Филарет мечется от Порошенко к Тимошенко в надежде сохранить статус патриарха,"филарет,мета,порошенк,тимошенк,надежд,сохраня,статус,патриарх"
"Константинополь внес ""новую церковь"" Украины в список автокефальных на своем сайте","константинопол,внос,нов,церков,украин,список,автокефальн,сво,сайт"
Депутат Рады заявил о ежедневных захватах храмов УПЦ на Украине,"депутат,рад,заявля,ежедневн,захват,храм,упц,украин"
Кандидаты в президенты Украины. №1 — Юлия Тимошенко,"кандидат,президент,украин,юл,тимошенк"
Неизвестные устроили погром в часовне канонической УПЦ,"неизвестн,устраива,погр,часовн,каноническ,упц"
Патриарх Иерусалима демонстративно отказался встречаться с Порошенко,"патриарх,иерусал,демонстративн,отказыва,встреча,порошенк"
Вы уже вошли в историю — Порошенко поздравил Филарета с 90-летием,"вход,истор,порошенк,поздравля,филарет,лет"
Порошенко поздравил лидера украинских раскольников с 90-летием,"порошенк,поздравля,лидер,украинск,раскольник,лет"
Черная метка от Варфоломея: Почему Иерусалимский патриарх отказался встречаться с Порошенко,"черн,метк,варфолом,поч,иерусалимск,патриарх,отказыва,встреча,порошенк"
Легойда: поддержавшие раскол власти Украины добились лишь сплочения верующих вокруг УПЦ,"легойд,поддержива,раскол,власт,украин,добива,лиш,сплочен,вер,вокруг,упц"
"С Богом или с СБУ? Как радикалы захватывают приходы у ""московских попов""","бог,сбу,радика,захватыва,приход,московск,поп"
Запрягайте,запряга
Отменивший встречу с Порошенко патриарх принял членов УПЦ МП,"отменя,встреч,порошенк,патриарх,принима,член,упц,мп"
Выборы на Украине. Предательство Филарета и сто дней для Тимошенко,"выбор,украин,предательств,филарет,сто,ден,тимошенк"
"Украинские выборы: ""Юля+Арсений"" опять равно любовь и победа","украинск,выбор,юл,арсен,равн,любов,побед"
Порошенко наградил Филарета звездой героя Украины,"порошенк,награжда,филарет,звезд,гер,украин"
Митрополит Иларион: Захват храмов УПЦ с начала года уже исчисляется десятками,"митропол,иларион,захват,храм,упц,нача,год,исчисля,десяток"
Филарет решил присвоить название канонической УПЦ,"филарет,реша,присваива,назван,каноническ,упц"
На Волыни сторонники ПЦУ взломали двери храма канонической церкви и атаковали настоятеля,"волын,сторонник,пцу,взламыва,двер,храм,каноническ,церков,атакова,настоятел"
"Бизнес артисту не помеха. Зачем американские ""Схемы"" очерняют Зеленского?","бизнес,артист,помех,американск,схем,очерня,зеленск"
Будни украинской политики: Парламент проиграл,"будн,украинск,политик,парламент,проигрыва"
Это уже даже не кризис: в каком состоянии находятся угольные шахты Украины,"эт,кризис,состоян,наход,угольн,шахт,украин"
"Сторонники ""новой украинской церкви"" атаковали храм канонической УПЦ в Волынской области","сторонник,нов,украинск,церков,атакова,храм,каноническ,упц,волынск,област"
Ляшко определил место Киева в мире: украинцам посоветовали красную икру вместо черной,"ляшк,определя,мест,ки,мир,украинец,посоветова,красн,икр,вмест,черн"
