NAME,TOKENS
Наш земляк: назначен глава ставропигии Константинопольского патриархата в Киеве,"наш,земляк,назнача,глав,ставропиг,константинопольск,патриархат,ки"
Варфоломей назначил руководителя киевской ставропигии,"варфолом,назнача,руководител,киевск,ставропиг"
Варфоломей назначил главой киевской ставропигии архимандрита Михаила из Анталии,"варфолом,назнача,глав,киевск,ставропиг,архимандр,миха,антал"
Порошенко может передать Варфоломею киевский храм,"порошенк,моч,передава,варфолом,киевск,храм"
Томос для Украины - доказательство того,"томос,украин,доказательств"
"Сколько стоит ""томос-тур"" Порошенко","скольк,сто,томос,тур,порошенк"
Названы условия,"называ,услов"
Порошенко объяснил,"порошенк,объясня"
"Это все, о чем я прошу Филарета, дайте возможность Епифанию быть предстоятелем церкви!","эт,прос,филарет,дава,возможн,епифан,предстоятел,церков"
Первая община бывшего Московского патриархата с юга Украины перешла в ПЦУ,"перв,общин,московск,патриархат,юг,украин,переход,пцу"
На Житомирщине первая община бывшей УПЦ МП перешла в ПЦУ,"житомирщин,перв,общин,бывш,упц,мп,переход,пцу"
Какие зависимые от Кремля церкви признают автокефалию ПЦУ: заявление экзарха Контстантинополя,"зависим,кремл,церков,признава,автокефал,пцу,заявлен,экзарх,контстантинопол"
Будьте духовным дедушкой ПЦУ: экзарх Константинополя обратился к Филарету,"духовн,дедушк,пцу,экзарх,константинопол,обраща,филарет"
Томос в Софии,"томос,соф"
Томос в Софии,"томос,соф"
"Путин не сможет оправдать нападение на Украину ""защитой православных""","путин,смоч,оправдыва,нападен,украин,защит,православн"
Гости президента. Порошенко позвал на Новый год генпрокурора Луценко и нардепа Грановского с главой ЦИКа,"гост,президент,порошенк,позва,нов,год,генпрокурор,луценк,нардеп,грановск,глав,цик"
УГКЦ готова работать с новым Президентом,"угкц,готов,работа,нов,президент"
Итоги 10.01: Томос в Ровно и орден Порошенко,"итог,томос,ровн,орд,порошенк"
Праздничные декларации о намерениях,"праздничн,декларац,намерен"
Новый плинтус,"нов,плинтус"
Мерцающая звезда украинского томоса,"мерца,звезд,украинск,томос"
Новые церковь и деньги для страны,"нов,церков,деньг,стран"
В США поздравили Украину с автокефалией ПЦУ,"сша,поздравля,украин,автокефал,пцу"
Это историческое достижение,"эт,историческ,достижен"
Порошенко призвали во время выборов провести опрос о переходе церквей в ПЦУ - Национальный Банк Новостей,"порошенк,призыва,врем,выбор,провод,опрос,переход,церков,пцу,национальн,банк,новост"
Главные новости четверга 10 января - юбилей Кравчука,"главн,новост,четверг,январ,юбил,кравчук"
Томос отправился в тур: Порошенко и Филарет представили свиток в первом городе,"томос,отправля,тур,порошенк,филарет,представля,свиток,перв,город"
Филарет вручил Порошенко орден Андрея Первозванного,"филарет,вруча,порошенк,орд,андр,первозва"
Петр Порошенко отменил поездку на Волынь с Томосом,"петр,порошенк,отменя,поездк,волын,томос"
Филарет наградил Порошенко,"филарет,награжда,порошенк"
Филарет вручил Порошенко орден Андрея Первозванного: стало известно за что,"филарет,вруча,порошенк,орд,андр,первозва,станов,известн"
Филарет вручил Порошенко орден Андрея Первозванного: стало известно за что | Новости Украины (UAZMI),"филарет,вруча,порошенк,орд,андр,первозва,станов,известн,новост,украин,uazmi"
Порошенко: Томос вернулся в Украину,"порошенк,томос,вернут,украин"
Томос вернулся в Украину – Порошенко,"томос,вернут,украин,порошенк"
Вселенский патриархат забыл об Украинской православной церкви: куда дели Томос,"вселенск,патриархат,забыва,украинск,православн,церков,дева,томос"
Порошенко: Томос об автокефалии ПЦУ вернулся в Украину,"порошенк,томос,автокефал,пцу,вернут,украин"
Томос об автокефалии ПЦУ вернули в Украину: Порошенко привез документ в Ровно,"томос,автокефал,пцу,вернут,украин,порошенк,привоз,документ,ровн"
Порошенко: Томос вернулся в Украину,"порошенк,томос,вернут,украин"
Порошенко: Томос об автокефалии Православной церкви Украины вернули в Украину,"порошенк,томос,автокефал,православн,церков,украин,вернут,украин"
Порошенко в Киеве показал Томос,"порошенк,ки,показыва,томос"
Томос вернулся в Украину – Порошенко,"томос,вернут,украин,порошенк"
"Кто такой ""Нарик""? Почему все говорят об Александре Петровском","нарик,поч,говор,александр,петровск"
Порошенко поделился хорошей новостью о Томосе,"порошенк,подел,хорош,новост,томос"
Филарет вручил президенту орден Андрея Первозванного за томос,"филарет,вруча,президент,орд,андр,первозва,томос"
Томос вернули в Украину,"томос,вернут,украин"
​Томос вернулся в Украину,"томос,вернут,украин"
Томос вернулся в Украину: документ подписали все члены Синода Вселенского Патриархата в Стамбуле,"томос,вернут,украин,документ,подписыва,ве,член,синод,вселенск,патриархат,стамбул"
Томос об автокефалии ПЦУ вернулся в Украину – Порошенко,"томос,автокефал,пцу,вернут,украин,порошенк"
"Порошенко вместе с Филаретом едет в ""томос-тур"" в Ровно","порошенк,вмест,филарет,еха,томос,тур,ровн"
Порошенко и Филарет примут участие в благодарственном молебне,"порошенк,филарет,принима,участ,благодарствен,молеб"
Новый плинтус,"нов,плинтус"
Праздничные декларации о намерениях,"праздничн,декларац,намерен"
Мерцающая звезда украинского томоса,"мерца,звезд,украинск,томос"
"Обзор главных тем ""Голоса Украины"" от 9 января","обзор,главн,тем,голос,украин,январ"
Точное количество людей,"точн,количеств,человек"
Способов влияния на ситуацию на Украине практически нет. Российские СМИ об Украине,"способ,влиян,ситуац,украин,практическ,российск,сми,украин"
Почти половина украинцев поддерживает создание в Украине поместной автокефальной церкви - опрос,"половин,украинец,поддержива,создан,украин,поместн,автокефальн,церков,опрос"
Какая она,
В ПЦУ подтвердили,"пцу,подтвержда"
Томос для Украины подписан,"томос,украин,подписыва"
Томос,томос
Двойные выборы и церковные дрязги: политический прогноз на 2019 год,"двойн,выбор,церковн,дрязг,политическ,прогноз,год"
Какая она,
Что сделал Путин,"сдела,путин"
Томос,томос
Окончательно оформлен: СМИ узнали,"окончательн,оформля,сми,узнава"
Томос для Украины подписан,"томос,украин,подписыва"
Члены Синода Вселенского патриархата поставили свои подписи под Томосом ПЦУ (фото),"член,синод,вселенск,патриархат,поставля,сво,подп,томос,пцу,фот"
Все члены Синода Вселенского патриархата подписали томос ПЦУ,"ве,член,синод,вселенск,патриархат,подписыва,томос,пцу"
Все члены Синода Вселенского патриархата подписали Томос [фото],"ве,член,синод,вселенск,патриархат,подписыва,томос,фот"
Томос об автокефалии Православной церкви Украины подписали все члены Синода Вселенского патриархата,"томос,автокефал,православн,церков,украин,подписыва,ве,член,синод,вселенск,патриархат"
Президент присвоил Патриарху Филарету звание Герой Украины,"президент,присваива,патриарх,филарет,зван,гер,украин"
Почему РПЦ теряет Украину,"поч,рпц,теря,украин"
Порошенко не удалось склонить всех священников на свою сторону – политолог,"порошенк,удава,склоня,ве,священник,сво,сторон,политолог"
Элладская церковь обсудит ситуацию на Украине на заседании Синода,"элладск,церков,обсужда,ситуац,украин,заседан,синод"
Элладская церковь обсудит ситуацию на Украине на заседании Синода,"элладск,церков,обсужда,ситуац,украин,заседан,синод"
Порошенко дал Филарету звание Герой Украины,"порошенк,дава,филарет,зван,гер,украин"
Как Киев пережил праздники: преступлений было меньше,"ки,пережива,праздник,преступлен,мал"
Порошенко дал Филарету звание Герой Украины,"порошенк,дава,филарет,зван,гер,украин"
Названа дата интронизации митрополита Епифания,"называ,дат,интронизац,митропол,епифан"
Приметы Томоса: что будет с УПЦ и как планируют отнимать лавры,"примет,томос,упц,планирова,отнима,лавр"
"Духовному лидеру украинского народа: Порошенко присвоил Филарету звание ""Героя Украины""","духовн,лидер,украинск,народ,порошенк,присваива,филарет,зван,гер,украин"
В ПЦУ пообещали нацменьшинствам оставить привычный им язык богослужения,"пцу,пообеща,нацменьшинств,оставля,привычн,язык,богослужен"
Порошенко дал Филарету звание Герой Украины,"порошенк,дава,филарет,зван,гер,украин"
Порошенко присвоил Филарету звание Героя Украины,"порошенк,присваива,филарет,зван,гер,украин"
Порошенко присвоїть патріарху Філарету звання Героя України,"порошенк,присв,т,патр,арх,ф,ларет,зван,гер,укр"
Порошенко присвоил Филарету звание Героя Украины,"порошенк,присваива,филарет,зван,гер,украин"
"Порошенко присвоил патриарху Филарету звание ""Герой Украины""","порошенк,присваива,патриарх,филарет,зван,гер,украин"
Москва мечет фейки,"москв,мета,фейк"
Томос-тур: Расколоть страну ради победы на выборах,"томос,тур,раскалыва,стран,рад,побед,выбор"
"У Порошенко прокомментировали присутствие ""Нарика"" на Фанаре","порошенк,прокомментирова,присутств,нарик,фанар"
Элладская церковь первой начала рассматривать вопрос признания Православной церкви Украины,"элладск,церков,перв,начина,рассматрива,вопрос,признан,православн,церков,украин"
Томос для Украины: хронология событий (видео),"томос,украин,хронолог,событ,виде"
Глава УГКЦ заявил о возможном объединении с Православной Церковью Украины,"глав,угкц,заявля,возможн,объединен,православн,церков,украин"
В ПЦУ заявили,"пцу,заявля"
Как ПЦУ получила Томос о независимости. Главное,"пцу,получа,томос,независим,главн"
Одна из европейских церквей запустила процедуру признания Православной церкви Украины,"европейск,церков,запуска,процедур,признан,православн,церков,украин"
Церковный вопрос станет главным - политолог рассказал о планах Порошенко на выборы,"церковн,вопрос,станов,главн,политолог,рассказыва,план,порошенк,выбор"
Поместная церковь Украины получила томос,"поместн,церков,украин,получа,томос"
Как ПЦУ получила Томос о независимости. Главное,"пцу,получа,томос,независим,главн"
Пожары и очередь к Томосу. Как Украина отпраздновала Рождество,"пожар,очеред,томос,украин,отпразднова,рождеств"
Томос вернется в Киев сразу же после подписания участниками синода Константинопольского патриархата,"томос,вернут,ки,сраз,подписан,участник,синод,константинопольск,патриархат"
"Недотомос с кровью? Для ""СЦУкунов"" из ПЦУ","недотомос,кров,сцукун,пцу"
Проваленная социальная реформа,"провалива,социальн,реформ"
Представитель митрополита Епифания: 9 января все епископы на синоде Вселенского патриархата поставят свои подписи под томосом,"представител,митропол,епифан,январ,ве,епископ,синод,вселенск,патриархат,поставля,сво,подп,томос"
В ПЦУ назвали возможную дату интронизации митрополита Епифания,"пцу,называ,возможн,дат,интронизац,митропол,епифан"
Первый в Ровенской области храм УПЦ МП перешел в Православную церковь Украины,"перв,ровенск,област,храм,упц,мп,переход,православн,церков,украин"
Филарет рассказал,"филарет,рассказыва"
Первый приход на Ривненщине перешел из УПЦ (МП) в Православную Церковь Украины,"перв,приход,ривненщин,переход,упц,мп,православн,церков,украин"
Первый приход на Ривненщине перешел из УПЦ (МП) в Православную Церковь Украины | Новости Украины (UAZMI),"перв,приход,ривненщин,переход,упц,мп,православн,церков,украин,новост,украин,uazmi"
"Томос для Украины - Томос удалось получить благодяря настойчивости и мудрости президента Порошенко-Филарет - ""ФАКТЫ""","томос,украин,томос,удава,получа,благодяр,настойчив,мудрост,президент,порошенк,филарет,факт"
Филарет рассказал,"филарет,рассказыва"
Улыбался и стоял рядом с Луценко: Евгений Карась показал фото с презентации Томоса в Украине,"улыба,стоя,ряд,луценк,евген,кар,показыва,фот,презентац,томос,украин"
Почему Порошенко и Епифанию выдали недействительный документ об автокефалии,"поч,порошенк,епифан,выдава,недействительн,документ,автокефал"
Митрополит Епифаний - предстоятель Православной Украинской Церкви,"митропол,епифан,предстоятел,православн,украинск,церков"
Митрополит Епифаний - предстоятель Украинской Православной Церкви,"митропол,епифан,предстоятел,украинск,православн,церков"
Священник потерял сознание рядом с Порошенко во время подписания томоса,"священник,потеря,сознан,ряд,порошенк,врем,подписан,томос"
Как Путин помог Украине получить Томос об автокефалии ПЦУ,"путин,помога,украин,получа,томос,автокефал,пцу"
А Томос-то не настоящий. Почему Порошенко и Епифанию в Стамбуле выдали недействительный документ об автокефалии,"томос,настоя,поч,порошенк,епифан,стамбул,выдава,недействительн,документ,автокефал"
Где сейчас находится Томос: СМИ сообщают,"наход,томос,сми,сообща"
Мне все нравится в декоммунизации,"нрав,декоммунизац"
Священник потерял сознание рядом с Порошенко во время подписания томоса,"священник,потеря,сознан,ряд,порошенк,врем,подписан,томос"
Томос из Киева увезут в Стамбул - не хватает подписей,"томос,ки,увезт,стамбул,хвата,подп"
Томос из Киева увезут в Стамбул - не хватает подписей,"томос,ки,увезт,стамбул,хвата,подп"
Guardian: Москва и Киев решили сразиться на небесах,"guardian,москв,ки,реша,сража,неб"
Огромная победа и плод усилий очень многих людей: Джемилев прокомментировал получение Томоса,"огромн,побед,плод,усил,очен,мног,человек,джемил,прокомментирова,получен,томос"
Это огромная победа и плод усилий очень многих людей: Джемилев прокомментировал получение Томоса | Новости Украины (UAZMI),"эт,огромн,побед,плод,усил,очен,мног,человек,джемил,прокомментирова,получен,томос,новост,украин,uazmi"
Украина получила томос: почему он уедет обратно,"украин,получа,томос,поч,уезжа,обратн"
Ющенко объяснил российскому журналисту зачем Украине Томос,"ющенк,объясня,российск,журналист,украин,томос"
Как украинцы встретили Томос в Киеве и как реагировали в УПЦ МП,"украинец,встреча,томос,ки,реагирова,упц,мп"
Украина получила Томос ПЦУ и станет членом ЕС и НАТО,"украин,получа,томос,пцу,станов,член,ес,нат"
Томос увезут в Стамбул для подписей,"томос,увезт,стамбул,подп"
Савченко: У нас уже есть один Бог,"савченк,бог"
Кузнец Вакула и зарядка батареек. Как политики поздравили украинцев с Рождеством,"кузнец,вакул,зарядк,батарейк,политик,поздравля,украинец,рождеств"
Томос в Киеве: в Софии Киевской показали исторический документ,"томос,ки,соф,киевск,показыва,историческ,документ"
Мама Митрополита Епифания рассказала о его учебе и как тосковала из-за монашеского выбора сына,"мам,митропол,епифан,рассказыва,учеб,тоскова,монашеск,выбор,сын"
Церковь и Порошенко: Почему Томос - это не только политика,"церков,порошенк,поч,томос,эт,политик"
Украина получила Томос ПЦУ и станет членом ЕС и НАТО,"украин,получа,томос,пцу,станов,член,ес,нат"
Томос из Киева опять увезут в Стамбул,"томос,ки,увезт,стамбул"
Порошенко призывает православные церкви мира признать ПЦУ,"порошенк,призыва,православн,церков,мир,признава,пцу"
Если Порошенко смог Томос,"порошенк,смоч,томос"
Томос можно увидеть в Софии Киевской еще полчаса - Национальный Банк Новостей,"томос,увидет,соф,киевск,полчас,национальн,банк,новост"
Томос об автокефалии УПЦ вернут в Стамбул,"томос,автокефал,упц,вернут,стамбул"
"В Минкультуры рассказали про ""церковного"" куратора из Москвы","минкультур,рассказыва,церковн,куратор,москв"
Томос об автокефалии ПЦУ пробудет в Украине недолго: вечером 7 января его вернут в Стамбул,"томос,автокефал,пцу,проб,украин,недолг,вечер,январ,вернут,стамбул"
Томос об автокефалии украинской церкви возвращается в Стамбул,"томос,автокефал,украинск,церков,возвраща,стамбул"
Сотни людей стояли в очереди возле Софийского собора,"сотн,человек,стоя,очеред,возл,софийск,собор"
Томос об автокефалии ПЦУ вернут в Стамбул - Национальный Банк Новостей,"томос,автокефал,пцу,вернут,стамбул,национальн,банк,новост"
Порошенко и Епифаний внесли Томос в Софию Киевскую,"порошенк,епифан,внос,томос,соф,киевск"
Порошенко призвал православные церкви признать ПЦУ,"порошенк,призыва,православн,церков,признава,пцу"
Епифаний поздравил с Рождеством Вооруженные силы Украины и тех,"епифан,поздравля,рождеств,вооружен,сил,украин"
Епифаний во время рожденственской литургии ПЦУ впервые помянул Кирилла,"епифан,врем,рожденственск,литург,пцу,вперв,помина,кирилл"
Спасибо за Томос!: украинцы празднуют на Софийской площади - Национальный Банк Новостей,"спасиб,томос,украинец,празднова,софийск,площад,национальн,банк,новост"
Автокефальная ПЦУ вошла в семью православных церквей как равная – Епифаний,"автокефальн,пцу,вход,сем,православн,церков,равн,епифан"
Священник упал в обморок рядом с Порошенко: уже становится привычным. ВИДЕО,"священник,упаст,обморок,ряд,порошенк,станов,привычн,виде"
Порошенко призывает церкви мира признать ПЦУ,"порошенк,призыва,церков,мир,признава,пцу"
СМИ показали многотысячную очередь к Софии Киевской – все хотят посмотреть на Томос,"сми,показыва,многотысячн,очеред,соф,киевск,хотет,посмотрет,томос"
СМИ показали многотысячную очередь к Софии Киевской – все хотят посмотреть на Томос | Новости Украины (UAZMI),"сми,показыва,многотысячн,очеред,соф,киевск,хотет,посмотрет,томос,новост,украин,uazmi"
Порошенко призвал поместные православные церкви мира признавать автокефальную ПЦУ,"порошенк,призыва,поместн,православн,церков,мир,признава,автокефальн,пцу"
Порошенко и Епифаний внесли Томос в Софию Киевскую,"порошенк,епифан,внос,томос,соф,киевск"
Порошенко призвал православные церкви признать ПЦУ,"порошенк,призыва,православн,церков,признава,пцу"
Томос из Киева опять увезут в Стамбул,"томос,ки,увезт,стамбул"
Томос выставили в Соборе Софии Киевской,"томос,выставля,собор,соф,киевск"
Порошенко призвал мировые православные церкви признать ПЦУ сестрой,"порошенк,призыва,миров,православн,церков,признава,пцу,сестр"
Спасибо за Томос!: украинцы празднуют на Софийской площади,"спасиб,томос,украинец,празднова,софийск,площад"
Мы освободили нашу Церковь из московской неволи - Президент о получении Томосу об автокефалии Православной Церкви Украины,"освобожда,наш,церков,московск,невол,президент,получен,томос,автокефал,православн,церков,украин"
Для нас нет ничего невозможного,"ничт,невозможн"
Порошенко призвал церкви мира признать ПЦУ,"порошенк,призыва,церков,мир,признава,пцу"
Порошенко вместе с Епифанием внес Томос в Софийский собор,"порошенк,вмест,епифан,внос,томос,софийск,собор"
Порошенко призвал мировые церкви признать ПЦУ,"порошенк,призыва,миров,церков,признава,пцу"
Порошенко призывает церкви мира признать ПЦУ,"порошенк,призыва,церков,мир,признава,пцу"
Порошенко призвал признать ПЦУ и пообещал вступить в НАТО,"порошенк,призыва,признава,пцу,пообеща,вступа,нат"
Порошенко призвал все православные церкви мира признать ПЦУ,"порошенк,призыва,ве,православн,церков,мир,признава,пцу"
Томос отвезут обратно в Стамбул,"томос,отвоз,обратн,стамбул"
Рождественская литургия при участии Петра Порошенко в Софии Киевской (ТРАНСЛЯЦИЯ),"рождественск,литург,участ,петр,порошенк,соф,киевск,трансляц"
Порошенко призвал православные церкви признать ПЦУ,"порошенк,призыва,православн,церков,признава,пцу"
В Святой Софии провели рождественскую литургию перед обнародованием томоса,"свят,соф,провод,рождественск,литург,обнародован,томос"
Порошенко и Епифаний внесли Томос в Софийский собор,"порошенк,епифан,внос,томос,софийск,собор"
В Святой Софии закончилась рождественская литургия,"свят,соф,заканчива,рождественск,литург"
Томос в ближайшие дни должны вернуть в Стамбул: названа причина,"томос,близк,ден,должн,вернут,стамбул,называ,причин"
Томос об автокефалии православной церкви Украины временно вернется на Фанар,"томос,автокефал,православн,церков,украин,времен,вернут,фанар"
В Софийском соборе: представляют томос - видео,"софийск,собор,представля,томос,виде"
Порошенко после Рождественской литургии поздравил страну с Томосом,"порошенк,рождественск,литург,поздравля,стран,томос"
Порошенко призвал все православные церкви мира признать ПЦУ,"порошенк,призыва,ве,православн,церков,мир,признава,пцу"
Святейшая Церковь Украины Порошенко призвал мир признать ПЦУ,"свят,церков,украин,порошенк,призыва,мир,признава,пцу"
Порошенко призвал православные церкви мира признать ПЦУ,"порошенк,призыва,православн,церков,мир,признава,пцу"
Епифаний начал рождественскую литургию в Софийском соборе: фото и видео,"епифан,начина,рождественск,литург,софийск,собор,фот,виде"
Порошенко призвал православные церкви мира признать ПЦУ,"порошенк,призыва,православн,церков,мир,признава,пцу"
Зрада или перемога: Митрополит Епифаний упомянул главу РПЦ Кирилла в рождественской литургии,"зрад,перемог,митропол,епифан,упомина,глав,рпц,кирилл,рождественск,литург"
Томос: как все произошло,"томос,происход"
Святейшая Церковь Украины Порошенко призвал мир признать ПЦУ | Новости Украины (UAZMI),"свят,церков,украин,порошенк,призыва,мир,признава,пцу,новост,украин,uazmi"
Стало известно,"станов,известн"
Томос в Украине ненадолго - отправляют обратно в Константинополь,"томос,украин,ненадолг,отправля,обратн,константинопол"
Порошенко призвал все православные церкви мира признать ПЦУ,"порошенк,призыва,ве,православн,церков,мир,признава,пцу"
