TITLE,TOKENS,TOKENS-VAD,V-MED,A-MED,D-MED
"Предстоятель УПЦ рассказал о ""Томосе рабства"" ПЦУ и предрек ее переход под омофор Папы Римского","предстоятел,упц,рассказыва,томос,рабств,пцу,предрека,переход,омофор,пап,римск","рабств (0.052;0.783;0.218) ,переход (0.605;0.561;0.558) ",0.329,0.672,0.388
"Томос рабства. Глава УПЦ высказался об ""автокефалии ПЦУ""","томос,рабств,глав,упц,высказыва,автокефал,пцу","рабств (0.052;0.783;0.218) ,глав (0.550;0.410;0.345) ",0.301,0.597,0.281
Новое падение Константинополя: Украинские раскольники осквернили пещеру Апокалипсиса,"нов,паден,константинопол,украинск,раскольник,оскверня,пещер,апокалипсис","нов (0.917;0.490;0.582) ,паден (0.516;0.583;0.397) ,оскверня (0.255;0.806;0.509) ",0.563,0.626,0.496
Предстоятель УПЦ митрополит Онуфрий резко отверг идею о компромиссе с раскольниками,"предстоятел,упц,митропол,онуфр,резк,отверга,иде,компромисс,раскольник","резк (0.250;0.808;0.556) ,отверга (0.083;0.637;0.422) ",0.167,0.723,0.489
Внешний облик Порошенко в монастыре высмеяли в web-сети,"внешн,облик,порошенк,монастыр,высмеива,web,сет",монастыр (0.438;0.413;0.475) ,0.438,0.413,0.475
Вынашивает томос или украл икону: в Сети смеются над Порошенко в странном пиджаке (+ВИДЕО,"вынашива,томос,украст,икон,сет,смея,порошенк,стран,пиджак,виде","украст (0.021;0.856;0.528) ,виде (0.646;0.577;0.427) ",0.334,0.716,0.478
"У Порошенко есть план ""П"" — что бы это значило (ВИДЕО)","порошенк,план,п,эт,знач,виде",виде (0.646;0.577;0.427) ,0.646,0.577,0.427
Украинские раскольники отменят платки для женщин и начнут отпевать католиков,"украинск,раскольник,отменя,платок,женщин,начина,отпева,католик","женщин (0.865;0.500;0.578) ,начина (0.490;0.480;0.387) ",0.677,0.49,0.482
Надувная свинка как символ радикальной революции,"надувн,свинк,символ,радикальн,революц","надувн (0.510;0.510;0.400) ,свинк (0.099;0.410;0.311) ",0.304,0.46,0.356
"Украинские раскольники написали к выборам новую ""молитву""","украинск,раскольник,написа,выбор,нов,молитв",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
В Сети раскритиковали Порошенко за передачу новой техники ВСУ,"сет,раскритиковыва,порошенк,передач,нов,техник,всу","передач (0.615;0.520;0.455) ,нов (0.917;0.490;0.582) ",0.766,0.505,0.518
Порошенко обходится украинцам в миллиард гривен,"порошенк,обход,украинец,миллиард,гривн",обход (0.531;0.571;0.473) ,0.531,0.571,0.473
ТОЛЬКО ПРИНУДИТЕЛЬНАЯ КАСТРАЦИЯ СО ВСЕМИ ВЫТЕКАЮЩИМИ ПОСЛЕДСТВИЯМИ,"принудительн,кастрац,ве,вытека,последств","принудительн (0.180;0.721;0.458) ,кастрац (0.198;0.735;0.381) ,последств (0.470;0.578;0.379) ",0.283,0.678,0.406
Встреча с Порошенко: начались столкновения (+ФОТО,"встреч,порошенк,начина,столкновен,фот","начина (0.490;0.480;0.387) ,столкновен (0.293;0.918;0.453) ",0.391,0.699,0.42
И вновь продолжается бой: на Украине яростно воюют с российскими книгами,"внов,продолжа,бо,украин,яростн,воева,российск,книг","внов (0.688;0.422;0.552) ,бо (0.010;0.775;0.245) ,яростн (0.062;0.953;0.598) ",0.253,0.717,0.465
Главная интрига президентских выборов на Украине,"главн,интриг,президентск,выбор,украин",интриг (0.500;0.406;0.573) ,0.5,0.406,0.573
ООН в ужасе от религиозного конфликта на Украине,"оон,ужас,религиозн,конфликт,украин","ужас (0.061;0.852;0.409) ,конфликт (0.335;0.906;0.471) ",0.198,0.879,0.44
НОВЫЙ ПРЕЗИДЕНТ И НОВЫЙ ПРЕМЬЕР,"нов,президент,нов,премьер","нов (0.917;0.490;0.582) ,нов (0.917;0.490;0.582) ",0.917,0.49,0.582
Почему американцы боятся украинских выборов,"поч,американец,боя,украинск,выбор",боя (0.240;0.733;0.509) ,0.24,0.733,0.509
Порошенко бегает от людей и от своего второго президентского срока,"порошенк,бега,человек,сво,втор,президентск,срок","бега (0.448;0.519;0.349) ,срок (0.406;0.769;0.411) ",0.427,0.644,0.38
Мочит губы: Администрация Порошенко прокомментировала алкогольные пристрастия президента,"моч,губ,администрац,порошенк,прокомментирова,алкогольн,пристраст,президент",моч (0.449;0.529;0.391) ,0.449,0.529,0.391
"Представительство ""ПЦУ"" в Европарламенте закрыто после жалоб правозащитника","представительств,пцу,европарламент,закрыва,жалоб,правозащитник","закрыва (0.385;0.456;0.475) ,жалоб (0.143;0.606;0.281) ",0.264,0.531,0.378
"Албанская православная церковь отказалась признавать раскольников из ""ПЦУ""","албанск,православн,церков,отказыва,признава,раскольник,пцу",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
Порошенко отступил,"порошенк,отступа",отступа (0.312;0.525;0.278) ,0.312,0.525,0.278
Добкин не исключил развитие психического расстройства у Порошенко,"добкин,исключа,развит,психическ,расстройств,порошенк","исключа (0.408;0.413;0.526) ,расстройств (0.115;0.816;0.218) ",0.262,0.614,0.372
Раскольник Епифаний пообещал помиловать священников канонической УПЦ после покаяния,"раскольник,епифан,пообеща,помилова,священник,каноническ,упц,покаян",покаян (0.417;0.604;0.324) ,0.417,0.604,0.324
Варфоломей отказался обсуждать украинскую автокефалию с другими церквями,"варфолом,отказыва,обсужда,украинск,автокефал,церков","отказыва (0.235;0.509;0.321) ,обсужда (0.396;0.769;0.509) ",0.316,0.639,0.415
УПЦ обвинила власти украинских городов в захвате православных церквей,"упц,обвиня,власт,украинск,город,захват,православн,церков","обвиня (0.133;0.752;0.500) ,город (0.847;0.531;0.508) ,захват (0.357;0.650;0.537) ",0.446,0.644,0.515
