TITLE,TOKENS,TOKENS-VAD,V-MED,A-MED,D-MED
"Митрополит ""новой церкви"" Украины Епифаний может получить государственную охрану","митропол,нов,церков,украин,епифан,моч,получа,государствен,охра","нов (0.917;0.490;0.582) ,моч (0.449;0.529;0.391) ",0.683,0.51,0.486
В регионах Украины прихожане остаются верными УПЦ,"регион,украин,прихожанин,остава,верн,упц",верн (0.580;0.409;0.555) ,0.58,0.409,0.555
Путин поставил на место безбожника Порошенко,"путин,поставля,мест,безбожник,порошенк",мест (0.427;0.410;0.312) ,0.427,0.41,0.312
Убивайте москалей – складывайте трупы!,"убива,москал,складыва,труп",труп (0.030;0.690;0.260) ,0.03,0.69,0.26
Патриарх Кирилл: РПЦ не откажется от Украинской церкви,"патриарх,кирилл,рпц,отказыва,украинск,церков",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
Сенатор РФ о значении церковного вопроса в выборах: 90% населения Украины - не верующие,"сенатор,рф,значен,церковн,вопрос,выбор,населен,украин,верова",вопрос (0.316;0.819;0.351) ,0.316,0.819,0.351
Гелетей предложил охранять главу ПЦУ Епифания,"гелет,предлага,охраня,глав,пцу,епифан","предлага (0.750;0.745;0.596) ,охраня (0.758;0.686;0.500) ,глав (0.550;0.410;0.345) ",0.686,0.614,0.48
"На Украине официально зарегистрировали ""новую церковь""","украин,официальн,зарегистрирова,нов,церков",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Встречи с главой УПЦ в плане Путина пока нет,"встреч,глав,упц,план,путин,пок",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
Не надо строить иллюзий,"стро,иллюз",иллюз (0.562;0.490;0.387) ,0.562,0.49,0.387
"Епифаний пообещал прекратить участие в ""томос-туре"" после регистрации Порошенко","епифан,пообеща,прекраща,участ,томос,тур,регистрац,порошенк",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Почему христианские Церкви сторонятся томос-игрищ Петра Порошенко?,"поч,христианск,церков,сторон,томос,игрищ,петр,порошенк",сторон (0.184;0.438;0.370) ,0.184,0.438,0.37
В России придумали компьютерную игру о конфликте РПЦ с Константинополем,"росс,придумыва,компьютерн,игр,конфликт,рпц,константинопол","игр (0.735;0.788;0.493) ,конфликт (0.335;0.906;0.471) ",0.535,0.847,0.482
В России придумали компьютерную игру о противостоянии РПЦ и Бармалея,"росс,придумыва,компьютерн,игр,противостоян,рпц,бармале",игр (0.735;0.788;0.493) ,0.735,0.788,0.493
Легойда: Томос - это вассальной зависимости украинских раскольников от Константинополя,"легойд,томос,эт,вассальн,зависим,украинск,раскольник,константинопол",зависим (0.180;0.806;0.420) ,0.18,0.806,0.42
"Азаров: ""Мощнейшие фальсификации"" будут","азар,мощн,фальсификац",фальсификац (0.173;0.720;0.490) ,0.173,0.72,0.49
Православная церковь в Америке не признала новую церковь Украины,"православн,церков,америк,признава,нов,церков,украин",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
"Православная церковь в Америке не признала ""новую церковь"" Украины","православн,церков,америк,признава,нов,церков,украин",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Православная церковь в Америке отказалась признать новую религиозную структуру на Украине,"православн,церков,америк,отказыва,признава,нов,религиозн,структур,украин","отказыва (0.235;0.509;0.321) ,нов (0.917;0.490;0.582) ",0.576,0.499,0.452
"Православная церковь в Америке не признала ""новую церковь"" Украины","православн,церков,америк,признава,нов,церков,украин",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
За торговлю на крови: Тимошенко пообещала,"торговл,кров,тимошенк,пообеща","торговл (0.250;0.710;0.399) ,кров (0.219;0.684;0.585) ",0.234,0.697,0.492
Петр Порошенко собрался на новый президентский срок,"петр,порошенк,собира,нов,президентск,срок","нов (0.917;0.490;0.582) ,срок (0.406;0.769;0.411) ",0.661,0.629,0.496
Глава ПЦУ готовится к поездкам за границу и посещению регионов Украины,"глав,пцу,готов,поездк,границ,посещен,регион,украин","глав (0.550;0.410;0.345) ,готов (0.847;0.500;0.412) ,посещен (0.771;0.443;0.445) ",0.723,0.451,0.401
Порошенко надел старый галстук на счастье: президент Украины стал кандидатом в президенты,"порошенк,надева,стар,галстук,счаст,президент,украин,станов,кандидат,президент",стар (0.271;0.557;0.348) ,0.271,0.557,0.348
Синод Болгарской церкви опроверг сообщения о поддержке новой украинской церкви,"синод,болгарск,церков,опроверга,сообщен,поддержк,нов,украинск,церков",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Холодный мир Порошенко. Предвыборные тезисы кандидата в президенты,"холодн,мир,порошенк,предвыборн,тезис,кандидат,президент","холодн (0.398;0.538;0.348) ,тезис (0.583;0.582;0.552) ",0.49,0.56,0.45
"Суд отклонил иск о неправомерности автокефалии ""новой церкви"" на Украине","суд,отклоня,иск,неправомерн,автокефал,нов,церков,украин","отклоня (0.146;0.765;0.431) ,нов (0.917;0.490;0.582) ",0.531,0.627,0.506
Сербский патриарх Ириней: Украина — великое искушение для православия,"сербск,патриарх,ирин,украин,велик,искушен,православ",искушен (0.365;0.817;0.560) ,0.365,0.817,0.56
Томос-тур помогает домушникам потрошить квартиры украинцев,"томос,тур,помога,домушник,потрош,квартир,украинец","тур (0.663;0.545;0.543) ,помога (0.930;0.624;0.471) ",0.796,0.585,0.507
Большинство монастырей Афона не хотят ехать на интронизацию Епифания,"большинств,монастыр,афон,хотет,еха,интронизац,епифан","монастыр (0.438;0.413;0.475) ,хотет (0.671;0.642;0.598) ",0.554,0.527,0.536
Мощное сопротивление: В УПЦ подтвердили,"мощн,сопротивлен,упц,подтвержда",сопротивлен (0.188;0.660;0.518) ,0.188,0.66,0.518
Порошенко идет на крайние меры ради победы на выборах,"порошенк,идт,крайн,мер,рад,побед,выбор","идт (0.510;0.441;0.444) ,рад (0.573;0.402;0.358) ",0.541,0.421,0.401
Греческие СМИ: Монахи Афона отказались ехать на интронизацию Епифания,"греческ,сми,мон,афон,отказыва,еха,интронизац,епифан",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
Эксперт: Сегодня Порошенко откажется от лозунгов про армию,"эксперт,сегодн,порошенк,отказыва,лозунг,арм",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
Порошенко пошел ва-банк: кровавый конфликт неизбежен,"порошенк,пойт,ва,банк,кровав,конфликт,неизбежн","кровав (0.031;0.910;0.518) ,конфликт (0.335;0.906;0.471) ",0.183,0.908,0.494
Порошенко подписал закон о свободном переходе религиозных общин,"порошенк,подписыва,закон,свободн,переход,религиозн,общин","свободн (0.896;0.500;0.544) ,переход (0.605;0.561;0.558) ",0.75,0.53,0.551
Кровопролитие и большие жертвы: Томос разбивает Украину на части — эксперт,"кровопролит,больш,жертв,томос,разбива,украин,част,эксперт","кровопролит (0.048;0.942;0.525) ,жертв (0.208;0.833;0.534) ,част (0.594;0.481;0.525) ",0.283,0.752,0.528
"DDoS показал ""Темную сторону Кремля""","ddos,показыва,темн,сторон,кремл",сторон (0.184;0.438;0.370) ,0.184,0.438,0.37
Раскол Украины может быть одним из сценариев победы Петра Порошенко на президентских выборах,"раскол,украин,моч,сценар,побед,петр,порошенк,президентск,выбор",моч (0.449;0.529;0.391) ,0.449,0.529,0.391
Порошенко о захвате церквей УПЦ МП на Украине: Всему свое время,"порошенк,захват,церков,упц,мп,украин,сво,врем",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
"Порошенко обозначил срок перехода паствы в ПЦУ фразой ""всему свое время""","порошенк,обознача,срок,переход,паств,пцу,фраз,сво,врем","обознача (0.448;0.471;0.534) ,срок (0.406;0.769;0.411) ,переход (0.605;0.561;0.558) ",0.486,0.6,0.501
Устав церкви Епифания противоречит Конституции Украины,"уста,церков,епифан,противореч,конституц,украин",противореч (0.160;0.598;0.482) ,0.16,0.598,0.482
Порошенко появился на томос-туре с криминальным авторитетом из Черкасс,"порошенк,появля,томос,тур,криминальн,авторитет,черкасс",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
На дне. Почему политики на Украине заговорили про встающую с колен экономику,"дно,поч,политик,украин,заговарива,встава,кол,экономик","заговарива (0.615;0.464;0.440) ,встава (0.541;0.582;0.455) ",0.578,0.523,0.448
"Выборы на Украине: ""Порошенко не имеет надёжной поддержки на местах""","выбор,украин,порошенк,имет,жно,поддержк,мест",мест (0.427;0.410;0.312) ,0.427,0.41,0.312
"Опрос: почти 20% украинцев не поддерживают создание ""новой церкви""","опрос,украинец,поддержива,создан,нов,церков","поддержива (0.708;0.471;0.569) ,нов (0.917;0.490;0.582) ",0.812,0.48,0.575
Украинские выборы разрушат хрупкий мир в стране. Фальсификации неминуемы,"украинск,выбор,разруша,хрупк,мир,стран,фальсификац,неминуем",фальсификац (0.173;0.720;0.490) ,0.173,0.72,0.49
Получателей грантов от Венгрии тащат в Службу безопасности Украины,"получател,грант,венгр,тащ,служб,безопасн,украин","получател (0.583;0.464;0.586) ,тащ (0.551;0.564;0.453) ",0.567,0.514,0.519
РПЦ: УПЦ имеет шанс оспорить в ЕСПЧ вмешательство властей в религиозную жизнь,"рпц,упц,имет,шанс,оспарива,еспч,вмешательств,власт,религиозн,жизн",шанс (0.833;0.551;0.525) ,0.833,0.551,0.525
Порошенко в Давосе. Привычка или жадность? ФОТО,"порошенк,давос,привычк,жадност,фот",жадност (0.173;0.780;0.528) ,0.173,0.78,0.528
Бортник: У новой церковной структуры Украины нет ни названия,"бортник,нов,церковн,структур,украин,назван",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Анталогия фальсификации. Как победить на выборах,"анталог,фальсификац,побежда,выбор",фальсификац (0.173;0.720;0.490) ,0.173,0.72,0.49
Филарет мечется от Порошенко к Тимошенко в надежде сохранить статус патриарха,"филарет,мета,порошенк,тимошенк,надежд,сохраня,статус,патриарх",мета (0.316;0.745;0.574) ,0.316,0.745,0.574
"Константинополь внес ""новую церковь"" Украины в список автокефальных на своем сайте","константинопол,внос,нов,церков,украин,список,автокефальн,сво,сайт",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Депутат Рады заявил о ежедневных захватах храмов УПЦ на Украине,"депутат,рад,заявля,ежедневн,захват,храм,упц,украин","рад (0.573;0.402;0.358) ,захват (0.357;0.650;0.537) ",0.465,0.526,0.448
Кандидаты в президенты Украины. №1 — Юлия Тимошенко,"кандидат,президент,украин,юл,тимошенк",юл (0.469;0.627;0.404) ,0.469,0.627,0.404
Неизвестные устроили погром в часовне канонической УПЦ,"неизвестн,устраива,погр,часовн,каноническ,упц",неизвестн (0.286;0.775;0.402) ,0.286,0.775,0.402
Патриарх Иерусалима демонстративно отказался встречаться с Порошенко,"патриарх,иерусал,демонстративн,отказыва,встреча,порошенк",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
Черная метка от Варфоломея: Почему Иерусалимский патриарх отказался встречаться с Порошенко,"черн,метк,варфолом,поч,иерусалимск,патриарх,отказыва,встреча,порошенк",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
Легойда: поддержавшие раскол власти Украины добились лишь сплочения верующих вокруг УПЦ,"легойд,поддержива,раскол,власт,украин,добива,лиш,сплочен,вер,вокруг,упц","поддержива (0.708;0.471;0.569) ,сплочен (0.604;0.536;0.555) ",0.656,0.504,0.562
"С Богом или с СБУ? Как радикалы захватывают приходы у ""московских попов""","бог,сбу,радика,захватыва,приход,московск,поп",поп (0.673;0.510;0.491) ,0.673,0.51,0.491
Выборы на Украине. Предательство Филарета и сто дней для Тимошенко,"выбор,украин,предательств,филарет,сто,ден,тимошенк",предательств (0.083;0.719;0.418) ,0.083,0.719,0.418
"Украинские выборы: ""Юля+Арсений"" опять равно любовь и победа","украинск,выбор,юл,арсен,равн,любов,побед",юл (0.469;0.627;0.404) ,0.469,0.627,0.404
Порошенко наградил Филарета звездой героя Украины,"порошенк,награжда,филарет,звезд,гер,украин",звезд (0.833;0.418;0.560) ,0.833,0.418,0.56
Митрополит Иларион: Захват храмов УПЦ с начала года уже исчисляется десятками,"митропол,иларион,захват,храм,упц,нача,год,исчисля,десяток",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
"Бизнес артисту не помеха. Зачем американские ""Схемы"" очерняют Зеленского?","бизнес,артист,помех,американск,схем,очерня,зеленск","бизнес (0.500;0.473;0.473) ,помех (0.135;0.545;0.473) ",0.318,0.509,0.473
Это уже даже не кризис: в каком состоянии находятся угольные шахты Украины,"эт,кризис,состоян,наход,угольн,шахт,украин","кризис (0.208;0.811;0.431) ,состоян (0.500;0.469;0.519) ",0.354,0.64,0.475
"Сторонники ""новой украинской церкви"" атаковали храм канонической УПЦ в Волынской области","сторонник,нов,украинск,церков,атакова,храм,каноническ,упц,волынск,област",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Ляшко определил место Киева в мире: украинцам посоветовали красную икру вместо черной,"ляшк,определя,мест,ки,мир,украинец,посоветова,красн,икр,вмест,черн","мест (0.427;0.410;0.312) ,ки (0.521;0.433;0.484) ",0.474,0.421,0.398
