TITLE,TOKENS,TOKENS-VAD,V-MED,A-MED,D-MED
Наш земляк: назначен глава ставропигии Константинопольского патриархата в Киеве,"наш,земляк,назнача,глав,ставропиг,константинопольск,патриархат,ки","глав (0.550;0.410;0.345) ,ки (0.521;0.433;0.484) ",0.536,0.421,0.414
Варфоломей назначил главой киевской ставропигии архимандрита Михаила из Анталии,"варфолом,назнача,глав,киевск,ставропиг,архимандр,миха,антал",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
Порошенко может передать Варфоломею киевский храм,"порошенк,моч,передава,варфолом,киевск,храм",моч (0.449;0.529;0.391) ,0.449,0.529,0.391
"Сколько стоит ""томос-тур"" Порошенко","скольк,сто,томос,тур,порошенк",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Названы условия,"называ,услов",услов (0.551;0.441;0.593) ,0.551,0.441,0.593
"Это все, о чем я прошу Филарета, дайте возможность Епифанию быть предстоятелем церкви!","эт,прос,филарет,дава,возможн,епифан,предстоятел,церков",прос (0.531;0.440;0.459) ,0.531,0.44,0.459
Первая община бывшего Московского патриархата с юга Украины перешла в ПЦУ,"перв,общин,московск,патриархат,юг,украин,переход,пцу",переход (0.605;0.561;0.558) ,0.605,0.561,0.558
На Житомирщине первая община бывшей УПЦ МП перешла в ПЦУ,"житомирщин,перв,общин,бывш,упц,мп,переход,пцу","бывш (0.250;0.520;0.306) ,переход (0.605;0.561;0.558) ",0.427,0.54,0.432
Какие зависимые от Кремля церкви признают автокефалию ПЦУ: заявление экзарха Контстантинополя,"зависим,кремл,церков,признава,автокефал,пцу,заявлен,экзарх,контстантинопол",зависим (0.180;0.806;0.420) ,0.18,0.806,0.42
"Путин не сможет оправдать нападение на Украину ""защитой православных""","путин,смоч,оправдыва,нападен,украин,защит,православн","нападен (0.167;0.848;0.550) ,защит (0.663;0.451;0.582) ",0.415,0.649,0.566
Гости президента. Порошенко позвал на Новый год генпрокурора Луценко и нардепа Грановского с главой ЦИКа,"гост,президент,порошенк,позва,нов,год,генпрокурор,луценк,нардеп,грановск,глав,цик","гост (0.646;0.615;0.472) ,нов (0.917;0.490;0.582) ,глав (0.550;0.410;0.345) ",0.704,0.505,0.466
