STEM,ORIGINAL,TRANSLATED,VALENCE,AROUSAL,DOMINANCE
aaaaaaah,aaaaaaah,aaaaaaah,0.479,0.606,0.291
трубкозуб,aardvark,трубкозуб,0.427,0.490,0.437
сзад,aback,сзади,0.385,0.407,0.288
счет,abacus,счеты,0.510,0.276,0.485
морское ушк,abalone,морское ушко,0.500,0.480,0.412
отказаться от,abandon,отказаться от,0.052,0.519,0.245
заброшен,abandoned,заброшенный,0.046,0.481,0.130
оставлен,abandonment,оставление,0.128,0.430,0.202
сконфужен,abashed,сконфуженный,0.177,0.644,0.307
утиха,abate,утихать,0.255,0.696,0.604
снижен,abatement,снижение,0.388,0.338,0.336
авв,abba,авва,0.562,0.500,0.480
аббатств,abbey,аббатство,0.580,0.367,0.444
сокраща,abbreviate,сокращать,0.531,0.375,0.330
сокращен,abbreviation,сокращение,0.469,0.306,0.345
брюшная пол,abdomen,брюшная полость,0.469,0.462,0.471
абдоминальн,abdominal,абдоминальный,0.490,0.456,0.445
похища,abduct,похищать,0.173,0.720,0.615
отведен,abduction,отведение,0.062,0.990,0.673
отклоня,aberrant,отклоняющийся,0.146,0.765,0.431
аберрац,aberration,аберрация,0.125,0.816,0.417
латентн,abeyance,латентность,0.330,0.510,0.292
питать отвращен,abhor,питать отвращение,0.125,0.602,0.349
омерзен,abhorrence,омерзение,0.167,0.684,0.420
отвратительн,abhorrent,отвратительный,0.229,0.750,0.474
соблюда,abide,соблюдать,0.635,0.354,0.705
неизмен,abiding,неизменный,0.796,0.327,0.750
способн,ability,способность,0.875,0.510,0.816
унижен,abject,униженный,0.354,0.590,0.417
абляц,ablation,абляция,0.418,0.500,0.500
пыла,ablaze,пылать,0.240,0.847,0.525
в состоян,able,в состоянии,0.786,0.500,0.810
ненормальн,abnormal,ненормальный,0.137,0.604,0.309
на борт,aboard,на борту,0.698,0.284,0.481
местопребыван,abode,местопребывание,0.620,0.302,0.500
упраздня,abolish,упразднять,0.448,0.615,0.529
отм,abolition,отмена,0.323,0.690,0.529
мерзост,abomination,мерзость,0.078,0.755,0.518
абориген,aboriginal,аборигенный,0.448,0.427,0.542
выкинут,abort,выкинуть,0.153,0.686,0.429
аборт,abortion,аборт,0.082,0.770,0.283
абортивн,abortive,абортивный,0.090,0.776,0.280
изобилова,abound,изобиловать,0.704,0.490,0.681
вышеупомянут,abovementioned,вышеупомянутый,0.541,0.298,0.509
абракадабр,abracadabra,абракадабра,0.673,0.632,0.434
истиран,abrasion,истирание,0.406,0.592,0.441
абразивн,abrasive,абразивный,0.392,0.610,0.593
в ряд,abreast,в ряд,0.635,0.380,0.519
за границ,abroad,за границу,0.677,0.596,0.561
крут,abrupt,крутой,0.271,0.819,0.545
резк,abruptly,резко,0.250,0.808,0.556
абсцесс,abscess,абсцесс,0.154,0.451,0.349
отсутств,absence,отсутствие,0.153,0.235,0.266
нет на мест,absent,нет на месте,0.177,0.221,0.116
абсентеизм,absenteeism,абсентеизм,0.404,0.273,0.357
абсент,absinthe,абсент,0.481,0.510,0.462
абсолютн,absolute,абсолютный,0.526,0.510,0.827
отпущение грех,absolution,отпущение грехов,0.715,0.500,0.664
освобожда,absolve,освобождать,0.684,0.449,0.660
абсорбирова,absorb,абсорбировать,0.469,0.558,0.670
поглощен,absorbed,поглощенный,0.490,0.471,0.519
абсорбир,absorbent,абсорбирующий,0.552,0.394,0.718
поглоща,absorbing,поглощающий,0.490,0.490,0.578
воздержива,abstain,воздерживаться,0.385,0.385,0.427
воздержан,abstention,воздержанность,0.271,0.264,0.509
абстиненц,abstinence,абстиненция,0.260,0.392,0.429
абстрактн,abstract,Абстрактные,0.438,0.292,0.444
абстракц,abstraction,абстракция,0.469,0.439,0.525
абсурд,absurd,абсурд,0.188,0.656,0.284
нелеп,absurdity,нелепость,0.115,0.528,0.227
изобил,abundance,изобилие,0.812,0.690,0.852
обильн,abundant,обильный,0.958,0.590,0.760
злоупотреблен,abuse,злоупотребление,0.071,0.873,0.469
злоупотребля,abused,злоупотребляли,0.021,0.874,0.235
оскорбительн,abusive,оскорбительный,0.125,0.903,0.567
уст,abutment,устой,0.500,0.265,0.616
бездон,abysmal,бездонный,0.250,0.710,0.598
бездн,abyss,бездна,0.353,0.725,0.296
академическ,academic,академический,0.781,0.420,0.812
академ,academy,академия,0.704,0.473,0.792
присоединя,accede,присоединяться,0.698,0.510,0.537
ускорител,accelerant,ускоритель,0.643,0.844,0.802
ускоря,accelerate,ускорять,0.615,0.902,0.759
ускорен,accelerated,ускоренный,0.610,0.812,0.682
акцент,accent,акцент,0.598,0.357,0.509
акцентирова,accentuate,акцентировать,0.673,0.556,0.667
принима,accept,принимать,0.847,0.286,0.565
приемлем,acceptable,приемлемо,0.812,0.286,0.583
принят,acceptance,принятие,0.833,0.287,0.755
акцепт,acceptances,акцепты,0.847,0.413,0.648
доступ,access,доступ,0.714,0.472,0.567
доступн,accessible,доступной,0.796,0.410,0.645
присоединен,accession,присоединение,0.612,0.383,0.636
аксессуар,accessory,аксессуар,0.562,0.292,0.445
авар,accident,авария,0.125,0.908,0.336
случайн,accidental,случайный,0.319,0.784,0.307
шумное приветств,acclaim,шумное приветствие,0.562,0.809,0.718
акколад,accolade,акколада,0.688,0.591,0.775
вмеща,accommodate,вмещать,0.844,0.375,0.566
жил,accommodation,жилье,0.817,0.415,0.587
сопровожден,accompaniment,сопровождение,0.740,0.479,0.695
сопровожда,accompany,сопровождать,0.833,0.406,0.585
сопровожд,accompanying,сопровождая,0.787,0.460,0.582
соучастник,accomplice,соучастник,0.408,0.580,0.510
выполня,accomplish,выполнять,0.929,0.673,0.816
осуществля,accomplished,осуществляется,0.870,0.520,0.798
достижен,accomplishment,достижение,0.917,0.694,0.888
соглас,accord,согласие,0.898,0.264,0.382
соответств,accordance,соответствие,0.659,0.349,0.600
аккордеон,accordion,аккордеон,0.604,0.490,0.361
подотчетн,accountability,подотчетность,0.755,0.537,0.833
бухгалтер,accountant,бухгалтер,0.625,0.450,0.639
учет,accounting,учет,0.552,0.390,0.677
аккредитова,accredited,аккредитованный,0.669,0.479,0.768
срастан,accretion,срастание,0.448,0.519,0.672
достава,accrue,доставаться,0.520,0.481,0.602
скаплива,accumulate,скапливаться,0.573,0.536,0.607
накоплен,accumulation,накопление,0.479,0.527,0.600
точност,accuracy,точность,0.604,0.481,0.802
точн,accurate,точный,0.743,0.360,0.737
проклят,accursed,проклятый,0.135,0.745,0.345
обвинен,accusation,обвинение,0.073,0.718,0.564
винительн,accusative,винительный,0.198,0.755,0.482
обвиня,accuse,обвинять,0.133,0.752,0.500
обвинител,accuser,обвинитель,0.122,0.779,0.615
привыкш,accustomed,привыкший,0.542,0.365,0.441
туз,ace,туз,0.643,0.481,0.546
уксусн,acetic,уксусный,0.333,0.420,0.519
ацетил,acetylene,ацетилен,0.306,0.469,0.509
бол,ache,боль,0.146,0.760,0.312
достига,achieve,достигать,0.816,0.545,0.843
достигнут,achieved,достигнутый,0.896,0.519,0.775
боля,aching,болящий,0.053,0.880,0.348
больн,achy,больной,0.167,0.840,0.373
кислот,acid,кислота,0.265,0.642,0.566
кислотн,acidity,кислотность,0.156,0.663,0.360
признава,acknowledge,признавать,0.786,0.370,0.661
призна,acknowledged,признанный,0.714,0.443,0.765
подтвержден,acknowledgement,подтверждение,0.819,0.539,0.830
кульминац,acme,кульминация,0.408,0.435,0.375
акн,acne,акне,0.167,0.474,0.308
желуд,acorn,желудь,0.448,0.198,0.192
акустическ,acoustic,акустическое,0.542,0.462,0.536
акустик,acoustics,акустика,0.611,0.330,0.509
знаком,acquaint,знакомить,0.646,0.491,0.639
знакомств,acquaintance,знакомство,0.656,0.290,0.670
уступчив,acquiescence,уступчивость,0.542,0.480,0.554
приобрета,acquire,приобретать,0.833,0.468,0.700
приобретен,acquiring,приобретение,0.735,0.510,0.817
получен,acquisition,получение,0.698,0.509,0.736
оправда,acquit,оправдать,0.583,0.571,0.611
оправдан,acquittal,оправдание,0.760,0.497,0.700
акр,acre,акр,0.583,0.387,0.423
площад,acreage,площадь,0.741,0.450,0.528
акробат,acrobat,акробат,0.708,0.828,0.602
акт,act,акт,0.656,0.704,0.735
действ,acting,действующий,0.698,0.643,0.500
фигура действ,action figure,фигура действия,0.615,0.774,0.611
действен,actionable,действенные,0.673,0.702,0.613
активирова,activate,активировать,0.764,0.650,0.806
активац,activation,активация,0.781,0.800,0.754
активн,active,активный,0.847,0.730,0.731
активист,activist,активист,0.531,0.653,0.877
мероприят,activity,Мероприятия,0.701,0.660,0.807
актер,actor,актер,0.653,0.561,0.629
актрис,actress,актриса,0.633,0.556,0.596
фактическ,actual,фактический,0.729,0.400,0.716
действительн,actuality,действительность,0.750,0.464,0.600
актуар,actuary,актуарий,0.510,0.404,0.491
острот,acuity,острота,0.469,0.378,0.741
сообразительн,acumen,сообразительность,0.564,0.660,0.679
иглоукалыван,acupuncture,иглоукалывание,0.531,0.324,0.549
остр,acute,острый,0.427,0.652,0.534
объявлен,ad,объявление,0.521,0.705,0.558
изречен,adage,изречение,0.517,0.415,0.566
непреклон,adamant,непреклонный,0.344,0.529,0.575
адаптирова,adapt,адаптироваться,0.740,0.355,0.551
адаптир,adaptable,адаптируются,0.735,0.423,0.641
приспособлен,adaptation,приспособление,0.663,0.365,0.609
добав,add,Добавить,0.728,0.490,0.554
добавлен,added,добавленной,0.562,0.405,0.509
сумматор,adder,сумматор,0.388,0.461,0.588
наркома,addict,наркоман,0.075,0.696,0.327
склон,addicted,склонный,0.156,0.712,0.483
зависим,addiction,зависимость,0.180,0.806,0.420
привыкан,addictive,привыкание,0.302,0.683,0.472
прибавлен,addition,прибавление,0.562,0.373,0.471
дополнительн,additional,дополнительный,0.673,0.462,0.526
присадк,additive,присадка,0.561,0.633,0.691
адрес,address,адрес,0.650,0.327,0.567
адресат,addressee,адресат,0.622,0.382,0.538
искусн,adept,искусный,0.594,0.539,0.789
достаточн,adequacy,достаточность,0.615,0.435,0.702
адекватн,adequate,адекватный,0.854,0.264,0.705
придержива,adhere,придерживаться,0.633,0.339,0.554
соблюден,adherence,соблюдение,0.760,0.307,0.630
приверженец,adherent,приверженец,0.561,0.385,0.555
придержив,adhering,придерживаясь,0.612,0.561,0.537
адгез,adhesion,адгезия,0.521,0.445,0.586
кле,adhesive,клей,0.604,0.350,0.413
проща,adieu,прощайте,0.250,0.471,0.342
жиров,adipose,жировой,0.333,0.350,0.391
смежност,adjacency,смежность,0.365,0.417,0.375
примыка,adjacent,примыкающий,0.645,0.276,0.536
